Company,Size,Sector,Region/HQ,Fit,Deck?,Yuno angle,Signal
TravelPerk (US),Enterprise,Travel,US/Global,9,NEW,Rapid US+global build w/ fresh payments stack: orchestration prevents single-PSP lock-in + local methods,$200M Series E at $2.7B; aggressive US expansion; acquired payments firm Yokoy
Tripledot Studios,Enterprise,Gaming,US/Global,9,NEW,Freshly merged 12-studio portfolio runs fragmented PSPs; consolidate billing w/ one integration + LPMs,"Closed $800M acquisition of AppLovin games (Jun'25); 12 studios, 25M DAU"
Turkish Airlines,Enterprise,Airline,Turkey,9,NEW,LPM coverage + multi-currency + redundancia,
Valve / Steam,Enterprise,Gaming,US/Global,9,NEW,PSP redundancy w/ auto-failover so no single bank cuts off a region + routing + LPMs + chargeback orchestration,PayPal acquirer terminated Steam in most regions (Jul'25); chargeback pressure
Vidio (Emtek),Enterprise,OTT/video,Indonesia,9,NEW,Local APMs + failover fragmentación ID,
Vivid Seats,Enterprise,Marketplace,US/Global,9,NEW,"Cost pressure + new intl launches: routing-driven cost reduction, redundancy, local methods",Launching Europe + Japan; acquired Vegas.com; cost-cutting to cash-generative 2026
ViX (TelevisaUnivision),Enterprise,OTT/video,Mexico,9,NEW,"LatAm LPMs (OXXO, SPEI) + IAP→web",
Voodoo,Enterprise,Hybrid-casual,France,9,YES,Web-store migration + routing al volverse core IAP,
Vuori,Enterprise,DTC,US/Global,9,NEW,Rapid multi-ctry rollout + China/UK = fragmented-PSP + LPM problem one orchestrator solves,E-com in 11 new ctys; first Asia stores (Seoul/Beijing); IPO chatter 2026
Webull,Enterprise,Fintech,US/Global,9,NEW,One integration for card acquiring + LPMs to fund accounts across 22 new EEA markets,EEA passport for 22 EU markets (Q1'26); net deposits $8.6B +91% YoY
WeightWatchers,Enterprise,Healthtech,US/Global,9,NEW,Turnaround lives on retention: dunning + decline-recovery to stop involuntary churn,"Emerged from Ch.11 Jul'25, relaunched as GLP-1 telehealth subscription"
Wellhub (Gympass),Enterprise,Corporate wellness,Brazil,9,YES,Multi-PSP redundancy + local acquiring recurring,
Wildlife Studios,Enterprise,Mobile gaming,Brazil,9,NEW,Web-store routing + auth vs IAP leakage,
WorldWinner,Enterprise,Gaming,US/Global,9,NEW,One API for high-volume entry-fee w/ failover + chargeback orchestration + web checkout vs 30%,Pays $2M+ weekly across 45 states; runs FanDuel Faceoff
Yum! Brands,Enterprise,QSR,Global,9,NEW,"Smart routing + global LPM en franquicias, auth lift",
Zynga (Take-Two),Enterprise,Gaming,US/Global,9,NEW,Massive global mobile portfolio shifting to D2C: orchestration to escape 30% + route globally,Take-Two emphasizing D2C over advertising for mobile
ARB Interactive (Modo),Medium,Gaming/Ent,Miami FL,9,NEW,Redundancia PSP en rails coin-purchase + fraude,Adquirió Publishers Clearing House (Jun'25)
Baseten,Medium,AI,US/Global,9,NEW,Hypergrowth metered inference needs PSP failover + smart routing so declines never stall revenue,"$1.5B round at ~$13B (Jun'26); ~$600M run-rate +1,900%; usage-based billing"
Bloom Nutrition,Medium,DTC,Los Angeles CA,9,NEW,Crecer sub share via dunning/retry; LPMs + auth-rate,Nutrabolt +$160M (Ene'25); +100% YoY
Boatsetter,Medium,Marketplace,Fort Lauderdale FL,9,NEW,Split payouts a owners y captains via un API,Bookings high-ticket + payouts duales
Bubble Skincare,Medium,DTC,New York NY,9,NEW,LPMs intl + local acquiring; sub replenishment,Cruzó $100M + expansión global 2025
Captions / Mirage,Medium,AI,US/Global,9,NEW,Scaling into Asia + web checkout off 30% IAP: orchestrate local methods + routing,"$75M (Mar'26) to push into Asia + web suite; ~20M users, heavy IAP"
Caraway,Medium,DTC,New York NY,9,NEW,Routing high-AOV + BNPL en sets $300+,Expansión producto+retail 2024-25
Comun,Medium,Fintech,New York NY,9,NEW,LPMs en mercados receptores + payouts cross-border,50x crecimiento rev; Serie A 2025
Current,Medium,Fintech,New York NY,9,NEW,Auth de depósitos + routing top-ups con failover,$80M raise + 90%+ growth (fin 2025)
Cuts Clothing,Medium,DTC,Las Vegas NV,9,NEW,Sub billing infra + auth-rate/redundancia PSP,Piloto subscripción + crecimiento cross-border 2025
Fanbase,Medium,Creator/Social,Atlanta GA,9,NEW,Failover + LPMs al escalar; reduce churn en subs,"Rediseño 2025, push monetización"
Fireworks AI,Medium,AI,US/Global,9,NEW,10k-customer global inference API: LPMs + auth-rate routing to monetize devs in every region,"$315M ARR (Feb'26) +416%, 10k+ companies, raising at $15B; usage billing"
Fomo,Medium,Fintech,New York NY,9,NEW,Auth en on-ramp al escalar global,$75M Serie B (Jun'26); 625K traders
FTMO,Medium,Fintech,US/Global,9,NEW,Already proved routing lifts US auth 20%; extend across multiple PSPs for failover + global payouts,Re-entered US via OANDA (Dec'25); Nuvei case: +20% US card approvals
FundedNext,Medium,Fintech,US/Global,9,NEW,50/30/20 payout mix scaling 3x across 170+ ctys: card auth lift + multi-rail payout routing,Q1'26 payouts $42.7M +293% YoY; launched FNmarkets brokerage
Gamma,Medium,AI,US/Global,9,YES,100% Stripe dependency on majority-intl revenue = SPOF; add redundancy + local-acquirer routing,$100M+ ARR + $68M Series B at $2.1B (Nov'25); 70M users majority-intl; Stripe-only
Goli Nutrition,Medium,DTC,Los Angeles CA,9,NEW,Routing cross-border + LPMs para footprint 115 países,Target nacional + 115 países 2025-26
Goodiebox,Medium,Subscription beauty,Denmark,9,NEW,Multi-PSP routing + dunning recover renewals,
Grover,Medium,Subscription tech rental,Germany,9,YES,Failover + auth en rental charges + LPMs,
HeyGen,Medium,AI,US/Global,9,YES,Already proved auth = revenue; multi-PSP routing + local acquiring across 140 mkts w/ failover,"Stripe case study: +21% auth; $100M ARR ~3x YoY, 140+ languages; Stripe-only+IAP"
Higgsfield,Medium,Consumer AI,San Francisco CA,9,YES,Credit billing + routing intl + failover en volumen spiky,"$1.3B val Ene'26, $200M ARR"
Hipcamp,Medium,Marketplace,San Francisco CA,9,YES,Payouts host + LPMs al expandir geografía,Duplicó inventario a 565K sites (May'25)
Holafly,Medium,eSIM,Spain,9,NEW,LatAm LPMs + auth lift cross-border cards,
INK Games,Medium,Gaming/Ent,Austin TX,9,NEW,IAP→D2C web + routing al escalar,Serie B cerrada 2025
Jinx,Medium,DTC,Los Angeles CA,9,NEW,Auth-rate + LPMs; routing en renovaciones sub,Push retail manteniendo sub DTC 2025
Lassie,Medium,Pet insurance,Sweden,9,NEW,Reduce dunning/churn premiums + multi-country PSP,
LaunchGood,Medium,Charity/crowdfunding,US,9,NEW,Global LPMs + redundancia donation spikes (Ramadan),
Learner,Medium,Edtech,Philadelphia PA,9,NEW,Automatización payout tutor + checkout padres,Escalando tutoring K-12 post-2024
Lebara,Medium,MVNO,UK,9,NEW,Diaspora LPMs + failover across PSPs,
Lovable,Medium,Dev,US/Global,9,YES,Global self-serve PLG w/ constant top-ups: routing + failover on high-frequency card auths,0→$300M ARR <12mo; per-message credit billing
Maelys,Medium,DTC,New York NY,9,NEW,Redundancia PSP + auth-rate en spikes virales,Top-3 fastest-growing DTC beauty 2025
Manta (Razor),Medium,Webtoon/comics,Korea,9,NEW,IAP→web escape 30% + global LPM coverage,
Mercor,Medium,AI,US/Global,9,NEW,"One-API payouts layer unifies Stripe Connect+Wise+local rails w/ failover, higher delivery, lower FX",$350M Series C at $10B (Oct'25); paying 30k+ experts $2M+/day on Stripe Connect+Wise
Momentous,Medium,Health/Wellness,Park City UT,9,NEW,Retry/dunning subscripción + redundancia PSP,"Inc. 5000 #392 (2025); 1,258% 3yr"
My Funded Futures,Medium,Fintech,Frisco TX,9,NEW,Auth en fees + failover PSP en eval alto volumen,Escalado rápido 2024-25
Netlify,Medium,Dev,US/Global,9,NEW,Fresh consumption-billing transition = new failed-payment surface; retry/recovery use case,All new accounts → credit-based usage pricing (Sep'25)
Nutrisense,Medium,Health/Wellness,USA,9,NEW,Dunning + retry en subs metabólicas high-ticket,Modelo CGM+coaching $225-399/mo escalando
Pair Eyewear,Medium,DTC,New York NY,9,NEW,Auth-rate + LPMs UK/AU; dunning en recompradores,Lanzó UK+Australia (2024-25)
Phantom,Medium,Fintech,San Francisco CA,9,NEW,Orquestar auth on-ramp + failover de ramps,Pivot a 'consumer finance platform' 2025
PLAYSTUDIOS,Medium,Gaming/Ent,Las Vegas NV,9,NEW,IAP→web store para escapar 30% + routing,$235M TTM (Dic'25)
Pocket FM,Medium,Audio/audiobooks,India/US,9,NEW,Smart routing auth small-ticket + dunning,
Pomelo,Medium,Fintech,US/Global,9,NEW,Entire product is credit-card-funded cross-border: auth rate IS the business; routing + failover core,$35M Series A + $75M warehouse; Thunes for US→PH→MX/IN remittances
Pray.com,Medium,Edtech,Santa Monica CA,9,NEW,IAP leakage + rails locales al internacionalizar,"17M+ users, top grossing religioso"
Qover,Medium,Embedded insurance,Belgium,9,NEW,"Route + LPMs por mercado, su tesis en pagos",
Ritual,Medium,Health/Wellness,Los Angeles CA,9,NEW,Auth-rate de subscripción + dunning; LPMs intl,Lanzamiento Ulta 2025; $5M R&D clínico
SciPlay,Medium,Gaming/Ent,USA,9,NEW,Migración web-store D2C + expansión LPM,$250M rev 2025
Seed Health,Medium,Health/Wellness,Venice CA,9,NEW,Replenishment billing + redundancia PSP al escalar global,Explorando venta ~$1B; Sprouts nationwide (2025)
Signos,Medium,Health/Wellness,USA,9,NEW,Auth-rate + failover al escalar post-FDA,FDA-cleared con Dexcom Stelo (2025)
Skillshare,Medium,Edtech,New York NY,9,NEW,Billing subscripción global + métodos locales 180 países,Inversión NewSpring; adquirió Superpeer
Skillz,Medium,Gaming/Ent,Las Vegas NV,9,NEW,Anti-fraude + chargeback mgmt + auth lift,$420M win vs Papaya (Abr'26)
Sling Money,Medium,Fintech,Dover DE,9,NEW,Auth de transfers card-funded + on/off-ramp,119 países live 2025
Speak,Medium,Edtech,US/Global,9,NEW,Migrate IAP + fragmented regional billing to one API w/ Korea/Japan/SEA/LatAm LPMs + routing,"$78M Series C at $1B (OpenAI-backed); 10M+ users 40+ ctys, expanding SEA/EU/LatAm"
Splash Sports,Medium,Gaming/Ent,USA,9,NEW,Failover + LPMs globales al escalar estados,Serie B Oct'25; payout dinámico
Spot & Tango,Medium,DTC,New York NY,9,NEW,Dunning auto-ship + failover en renovaciones críticas,130M+ meals (Dic'25); expansión UnKibble
Springboard,Medium,Edtech,San Francisco CA,9,NEW,Orquestar PSPs installment/financing + recuperar tuition,Modelo financing-partner 2025
Stan (Stan.store),Medium,Creator/Social,Los Angeles CA,9,NEW,Auth-rate + LPMs para checkout creator global,ARR +24% YoY 2025
Stash,Medium,Fintech,New York NY,9,NEW,Auth de depósitos card-funded + redundancia PSP,$146M Serie H oversubscribed (May'25)
Sundays for Dogs,Medium,DTC,New York NY,9,NEW,Recurring billing + dunning; PSP failover,'Brand to watch' eyeing retail 2025
Sunnyside,Medium,Health/Wellness,USA,9,NEW,IAP→web + dunning en subs alto volumen bajo ARPU,Lanzó AI coach + naltrexone $99/mo (2024-25)
Suno,Medium,AI,US/Global,9,YES,Freshly funded Stripe-only grower turning away intl cards; local methods + routing convert demand,$400M Series D at $5.4B (Jun'26); 2M+ subs; Stripe-only + USD-only rejecting intl cards
Swimply,Medium,Marketplace,New York NY,9,NEW,Payouts two-sided + instant-payout para hosts,Expandiendo categorías
Take Profit Trader,Medium,Fintech,Orlando FL,9,NEW,LPMs globales + orquestación payouts,Top US futures prop 2025-26
Tibber,Medium,Smart-energy sub,Norway,9,NEW,Dunning + involuntary-churn recovery debits mensuales,
TickPick,Medium,Marketplace,New York NY,9,NEW,Failover PSP + auth-rate en tickets de alto valor,Capital fresco Brighton Park
Together AI,Medium,AI,US/Global,9,YES,Dual usage-based lines to global startups: one orchestration layer for local acquiring + decline recovery,"$1B annualized rev (Feb'26), raising ~$1B at $7.5B; self-serve 25+ cities"
Tolan (Portola),Medium,Consumer AI,San Francisco CA,9,NEW,App IAP hipergrowth → web-billing + dunning,$1M→$12M ARR en 4 meses (2025)
WorkOS,Medium,SaaS,US/Global,9,NEW,"Usage-based dev-auth APIs, self-serve globally; scaling finance ops = ripe before lock-in",$100M Series C at $2B (Mar'26); ARR climbing fast
1GLOBAL,Enterprise,eSIM/MVNO,UK,8,YES,Multi-country recurring billing + PSP redundancy,
888 / Evoke,Enterprise,iGaming,UK,8,NEW,LPM coverage + payout + PSP redundancy,
ACKO,Enterprise,Digital insurance,India,8,NEW,"UPI + card routing, auth lift, mandate failover",
AG1,Enterprise,DTC,US/Global,8,YES,Single-SKU global subscription lives on recurring auth + dunning = smart routing + failover,~$600M rev; launched at Target Apr'26 (omnichannel); single-subscription engine
Air France-KLM,Enterprise,Airline group,France,8,NEW,LPM breadth + PSP failover multi-marca,
Airwallex (US),Enterprise,Fintech,US/Global,8,NEW,Aggressive US push + card book: cross-PSP redundancy + acquiring-side auth across 12 new markets,$8B valuation; ~$1B to US ops 2026-29 + SF HQ; $1.3B ARR
Alaska/Hawaiian,Enterprise,Travel,US/Global,8,NEW,Domestic carrier going global across two merged stacks: unified cross-border acceptance + failover,Post-merger first transatlantic (Rome/London/Reykjavik) 2026
Allego,Enterprise,EV charging,Netherlands,8,NEW,"Auth-rate + smart routing per-session, 16 mercados",
Almosafer (Seera),Enterprise,OTA,Saudi Arabia,8,NEW,mada/GCC rails + failover + multi-currency,
Anker Innovations,Enterprise,DTC,US/Global,8,NEW,"Multi-brand global electronics runs fragmented PSPs by brand/region; consolidate routing, LPMs, cost","$3.65B TTM 2025, ~half US; multi-brand global DTC + marketplace"
ARQ (DolarApp),Enterprise,Fintech,US/Global,8,NEW,Stablecoin cross-border super-app adding cards: orchestrate fiat on/off-ramp + lift auth across LatAm,"$70M raise (Sequoia/FF) early'26; 2M+ users, $10B+ annualized; adding cards"
Avis Budget,Enterprise,Travel,US/Global,8,YES,180-ctry high-ticket rental: small auth lifts on high-value bookings = recovered revenue,"~10,250 locations ~180 ctys; expanding Avis First 2026"
Bandai Namco,Enterprise,AAA/mobile,Japan,8,NEW,Routing + LPM coverage D2C global,
Betsson,Enterprise,iGaming,Sweden,8,NEW,LPM + payout orchestration + failover/auth,
Betway,Enterprise,iGaming,Malta/Africa,8,NEW,Card-auth routing + acquirer failover deposits,
Bitstamp,Enterprise,Crypto exchange,Luxembourg,8,NEW,Card-auth routing + redundancia EU acquirers,
Bitwarden,Enterprise,Security,US/Global,8,NEW,Password-manager self-serve subs worldwide: cross-border acceptance + LPMs on global renewals,"$100M PSG/Battery round; 10M users 180+ ctys, capital for intl"
Bol.com,Enterprise,E-comm marketplace,Netherlands,8,NEW,iDEAL/Bancontact + marketplace payouts + routing,
Boomplay,Enterprise,Music/audio,Nigeria,8,NEW,Mobile-money LPMs + retry para margen fino,
Breeze Airways,Enterprise,Travel,US/Global,8,NEW,First-time cross-border = greenfield: one integration to add LPMs + FX without per-ctry plumbing,Launching first-ever intl routes early'26 (MX/Bahamas/CR/Jamaica/DR)
Bungie (Sony),Enterprise,Gaming,US/Global,8,NEW,"New live-service launch + global cosmetics store: orchestrate D2C, reduce store dependency",Marathon launching w/ new microtxn model; Destiny 2 Eververse $300M+
Cabify,Enterprise,Ride-hailing,Spain/LatAm,8,NEW,Routing + driver payout orchestration,
Calm,Enterprise,Mental health,US/Global,8,YES,One API for UK/CA w/ LPMs + routing/dunning to recover lost subs,Calm Health first intl (UK/CA) Jun'25; shed ~500K subs to 3.5M
Careem,Enterprise,Super-app,UAE/MENA,8,NEW,MENA LPM + courier payouts + redundancia,
Carnival Corporation,Enterprise,Travel,US/Global,8,YES,World's largest cruise w/ multi-brand global flows: reduce cross-border cost + auth/redundancy,Celebration Key opened Jul'25; largest-ever fleet; record bookings
Casago,Enterprise,Travel,US/Global,8,NEW,Live cross-border portfolio mid-integration: consolidate two legacy stacks + multi-currency + owner payouts,Completed Vacasa acquisition (May'25); 40k+ properties US/MX/Belize/CR
Casas Bahia,Enterprise,Retail e-comm,Brazil,8,NEW,Installment routing + marketplace payouts + auth,
Cash App (Block),Enterprise,Fintech,US/Global,8,NEW,Orchestrate card-funded top-ups + stablecoin on/off-ramp across PSPs to lift auth + failover,Rolling out Circle USDC to ~60M users across 4 chains (May'26)
Cathay Pacific,Enterprise,Airline,Hong Kong,8,NEW,China LPM coverage + redundancia + auth routing,
Century Games,Enterprise,Mobile strategy,Singapore/China,8,NEW,Multi-region routing + LPMs + chargeback control,
ChargePoint,Enterprise,Mobility,US/Global,8,YES,Cross-network roaming settles across ctys/currencies/billing: multi-currency multi-PSP orchestration,"150k+ ports NA+EU, 500k+ EU roaming; payments ~$690M segment"
Chegg,Enterprise,Edtech,US/Global,8,YES,Churn crisis + fresh LatAm expansion: dunning orchestration + LPM story,"Q2'25 sub rev -39%, subs -40% to 2.6M; pushing Busuu into LatAm"
Chime,Enterprise,Fintech,US/Global,8,NEW,Scale instant transfers + card top-ups post-IPO: lift funding auth + PSP failover,Q1'26 $38.7B purchase volume +12%; first GAAP profit; post-IPO
Chipotle,Enterprise,Fast-casual,US/Asia,8,NEW,New-market LPM + auth lift en lanzamiento intl,
Cloudflare,Enterprise,Cloud,US/Global,8,YES,Self-serve usage+subscription expanding geos: local acquiring/currency/LPM billing pain,Expanded data-residency regions (BR/DE/IN/JP/SG/UK) Dec'25
Com2uS,Enterprise,Mobile gacha,Korea,8,NEW,Web-store billing + LPM coverage + chargeback,
Copa Airlines,Enterprise,Airline,Panama,8,NEW,Local acquiring + installment LPMs LatAm,
Costa Cruises,Enterprise,Cruise,Italy,8,NEW,LPMs EU/APAC + failover booking engine,
CVC Corp,Enterprise,Travel,Brazil,8,NEW,Routing cross-border + installments + recovery,
Dashlane,Enterprise,Security,US/Global,8,NEW,Surge of new self-serve card subs globally: onboarding auth-rate + churn-recovery moment,"Retired free plan Sep'25, forcing free users onto paid card tiers"
DAZN,Enterprise,Streaming,US/Global,8,YES,Global LPM coverage + failover for sports base spanning dozens of markets,Multi-year US+Canada Fubo integration; DAZN1 linear launch
DiDi (LatAm),Enterprise,Ride-hailing,LatAm,8,NEW,Routing auth + driver payout orchestration,
Dott,Enterprise,Micromobility,Netherlands,8,NEW,Lift auth + LPMs recover declined micro-txns,
DriveWealth,Enterprise,Fintech,US/Global,8,NEW,One integration for LPMs + card acquiring per market so partners fund at high auth without rebuilding rails,Powers Uala US-stock launch in Mexico (Mar'26); Kalshi; EU license
Eight Sleep,Enterprise,Healthtech,US/Global,8,YES,Local acquiring/LPMs + redundancy to capture membership revenue outside US rails,"$100M Series D (Aug'25) + $50M at $1.5B; ships 34+ ctys, China entry"
Etsy,Enterprise,Marketplace,US/Global,8,NEW,"Adding payment markets: layer orchestration for LPM breadth, auth lift, seller-payout reliability",Expanded Etsy Payments to more markets amid 2025 tariff complexity
Exodus,Enterprise,Crypto,US/Global,8,NEW,US-public wallet turning into payments app w/ global expansion: card acquiring/on-ramp + payouts,Launched Exodus Pay (Apr'26); acquired Baanx+Monavate for issuing
Expedia Group,Enterprise,Travel,US/Global,8,YES,Surging B2B/white-label + supplier payouts across global partners: cross-border orchestration + failover,B2B gross bookings +24% Q4'25; extending Rapid API 2026; ~$3B tech spend
Fanatics Collect,Enterprise,Marketplace,US/Global,8,YES,New high-growth collectibles + live-auction w/ complex payouts: one API + redundancy as volume scales,PSA partnership; live auctions + Sotheby's scaling 2025-26
Foodpanda,Enterprise,Food/q-commerce,APAC,8,NEW,APAC multi-country routing + LPM + payouts,
Frontier Airlines,Enterprise,Travel,US/Global,8,NEW,"ULCC Mexico/LatAm growth where LPMs (OXXO, installments) + cross-border declines are real leakage",23 new US/Mexico routes + Caribbean/Central America spring'26
Gemini (crypto),Enterprise,Crypto,US/Global,8,YES,As growth engine pivots to card-deposit under public scrutiny: lift card auth + acquirer redundancy,"Card revenue +300% to $14.7M (~half of rev), May'26; post-IPO"
GitHub Copilot,Enterprise,Dev,US/Global,8,YES,Massive self-serve subscriber base shifting to metered token billing = new decline exposure,All Copilot plans → usage-based AI-credit billing (Jun'26)
GoTo (Gojek),Enterprise,Super-app,Indonesia,8,NEW,Indonesia/SEA LPM redundancy + payouts,
Grafana Labs,Enterprise,SaaS,US/Global,8,NEW,"Self-serve consumption-metered observability, global SRE base: auth-rate lift on usage charges",$250M at ~$9B (Feb'26); multi-dimensional usage pricing
Groww,Enterprise,Investing/brokerage,India,8,NEW,"UPI + card deposit routing, optimization",
Headspace,Enterprise,Mental health,US/Global,8,NEW,IAP→web on $476M+ volume to escape 30% + dunning across 190 ctys,Top behavioral-health IPO candidate 2026; Cigna rollout + cost cuts
Hi-Rez Studios,Enterprise,Gaming,US/Global,8,NEW,"Just-launched F2P economy = ideal moment to standardize on one API for LPMs, routing, web store","SMITE 2 went F2P w/ microtxn (Jan'25), new economy"
IAG (Iberia/BA/Vueling),Enterprise,Airline group,Spain/UK,8,NEW,Una capa entre marcas + LatAm LPMs,
iFIT / NordicTrack,Enterprise,Fitness,US/Global,8,YES,"Dunning, retries, PSP redundancy for high-ARPU connected fitness",Restructured sub tiers Sep'25; millions of hardware-tethered subs US/EU
IndiGo,Enterprise,Airline,India,8,NEW,UPI/EMI + expansión LPM intl un API,
inDrive,Enterprise,Ride-hailing,US/LatAm,8,NEW,Cashless routing + multi-country driver payouts,
Instacart,Enterprise,Marketplace,US/Global,8,YES,One API for intl enterprise expansion + shopper payouts beyond US-centric stack,Acquired Instaleap for global enterprise expansion; intl traction Q1'26
IONITY,Enterprise,EV charging sub,Germany,8,NEW,Subscription dunning + LPMs + cross-border auth,
Jahez,Enterprise,Food delivery,Saudi Arabia,8,NEW,KSA LPM + courier payouts + cost reduction,
Jumeirah Group,Enterprise,Hotels,UAE,8,NEW,"GCC + inbound LPMs, multi-currency auth",
Jumia,Enterprise,E-comm super-app,Nigeria,8,NEW,African LPMs/mobile money + payout orchestration,
Kajabi,Enterprise,Creator,US/Global,8,YES,"Investing in own payments layer: lift intl-card auth, cut FX surcharge, add redundancy",$10B cumulative creator payouts (Aug'25); +1.5% on intl cards
Kinepolis Group,Enterprise,Cinema chain,Belgium,8,NEW,Un API multi-país + loyalty/sub dunning,
Lambda Labs,Enterprise,Cloud,US/Global,8,NEW,Pre-IPO GPU cloud: hardened billing + PSP redundancy to de-risk collection ahead of listing,IPO planned H2'26 (banks hired); $520M+ rev; $1.5B Series E (Nov'25)
Lazada,Enterprise,E-comm marketplace,Singapore,8,NEW,Un API SEA + seller payouts + LPMs,
Linktree,Enterprise,Creator,US/Global,8,NEW,Pivoting to transactional commerce at 50M scale: launch payments/payouts globally w/ routing+LPMs,Launched 'Linktree Earn' + Shops; acquired Fingertip (Nov'25); 50M+ users
Localiza,Enterprise,Car rental,Brazil,8,YES,Pix/installment LPMs + auth routing inbound,
Loft,Enterprise,Proptech,Brazil,8,NEW,Big-ticket auth + installment orchestration,
Luckin Coffee,Enterprise,Coffee chain,China/US,8,NEW,New-market PSP routing + app-payment LPM,
MadeiraMadeira,Enterprise,Home e-comm,Brazil,8,NEW,Installment routing + seller payouts + auth,
Mandarin Oriental,Enterprise,Hotels,Hong Kong,8,NEW,Auth routing luxury high-ticket + APAC LPMs,
ManoMano,Enterprise,DIY marketplace,France,8,YES,Cross-border LPMs + seller payouts + B2B billing,
Mercado Bitcoin,Enterprise,Crypto exchange,Brazil,8,NEW,Pix/on-ramp redundancy + cost reduction,
Mercari (US),Enterprise,Marketplace,US/Global,8,YES,Processing in take rate: routing/cost reduction + cheaper payouts protect the 10% economics,Flat 10% fee w/ processing absorbed (Jan'25)
MongoDB,Enterprise,SaaS,US/Global,8,YES,Global self-serve usage billing at scale: cross-border cost + decline recovery on metered charges,Atlas Flex usage-based tier GA Feb'25; per-hour usage globally
Monzo,Enterprise,Neobank,UK,8,NEW,Card top-up routing + redundancia,
MyFitnessPal,Enterprise,Fitness,US/Global,8,NEW,Auth lift + churn recovery + IAP→web margin directly accretive to exit story,"Rev -5.7% to $310M; PE owner pivoting to growth, IPO/sale exit"
N26,Enterprise,Neobank,Germany,8,NEW,Top-up auth routing + PSP failover,
NCSoft,Enterprise,MMORPG,Korea,8,NEW,Global LPM + PSP failover expansión occidental,
Niantic (Scopely),Enterprise,Gaming,US/Global,8,NEW,"Maximize D2C shift w/ optimized global checkout, fraud controls, LPMs",PGO web stores live but huge volume still via app stores
