Rank,Tier,Company,Sector,Fit,Deck?,Signal (2025-26),Yuno angle
122,3,Hily,Dating,8,NEW,Surpassed Bumble to #3 US dating app; already runs direct web billing,"Scale off-store checkout globally w/ routing, dunning, redundancy, LatAm LPMs"
123,3,iFIT / NordicTrack,Fitness,8,YES,Restructured sub tiers Sep'25; millions of hardware-tethered subs US/EU,"Dunning, retries, PSP redundancy for high-ARPU connected fitness"
124,3,Insight Timer,Mental health,8,NEW,Official India launch (first emerging-mkt) Mar'26; 35M+ members; Apple 30% pain,IAP→web for MemberPlus + UPI/LPMs for India + dunning on failed renewals
125,3,Instacart,Marketplace,8,YES,Acquired Instaleap for global enterprise expansion; intl traction Q1'26,One API for intl enterprise expansion + shopper payouts beyond US-centric stack
126,3,Kajabi,Creator,8,YES,$10B cumulative creator payouts (Aug'25); +1.5% on intl cards,"Investing in own payments layer: lift intl-card auth, cut FX surcharge, add redundancy"
127,3,Krea AI,AI,8,NEW,$47M Series B (Apr'25) at ~$500M; 30M+ users across 191 ctys,"One API to monetize 191 ctys w/ LPMs + PSP redundancy, lifting auth + cutting decline churn"
128,3,Ladder,Fitness,8,NEW,$105M (GC/Point72) targeting 400K members + $100M ARR early'26,IAP→web + auth optimization as it chases the $100M ARR milestone
129,3,Lambda Labs,Cloud,8,NEW,IPO planned H2'26 (banks hired); $520M+ rev; $1.5B Series E (Nov'25),Pre-IPO GPU cloud: hardened billing + PSP redundancy to de-risk collection ahead of listing
130,3,LifeMD,Healthtech,8,NEW,Record 42k+ net-new subs Q1'26; weight-mgmt ~100k; Medicare Apr'26,Auth-rate lift + churn reduction protect new-subscriber LTV during growth push
131,3,Linktree,Creator,8,NEW,Launched 'Linktree Earn' + Shops; acquired Fingertip (Nov'25); 50M+ users,Pivoting to transactional commerce at 50M scale: launch payments/payouts globally w/ routing+LPMs
132,3,Mercari (US),Marketplace,8,YES,Flat 10% fee w/ processing absorbed (Jan'25),Processing in take rate: routing/cost reduction + cheaper payouts protect the 10% economics
133,3,Modal Labs,AI,8,NEW,$355M Series C at $4.65B (May'26); per-second usage billing,Pay-per-compute to global devs is decline-sensitive: routing + retries protect metered revenue
134,3,MongoDB,SaaS,8,YES,Atlas Flex usage-based tier GA Feb'25; per-hour usage globally,Global self-serve usage billing at scale: cross-border cost + decline recovery on metered charges
135,3,MyFitnessPal,Fitness,8,NEW,"Rev -5.7% to $310M; PE owner pivoting to growth, IPO/sale exit",Auth lift + churn recovery + IAP→web margin directly accretive to exit story
136,3,Patreon,Creator,8,YES,$179M rev 2025 +28%; $2B+/yr to creators; payouts USD-only,USD-only payouts = global-LPM gap; multi-PSP model solves + auth lift on recurring [warm contact]
137,3,Poe (Quora),AI,8,NEW,"18M MAU, ~$190M 2026; 5 paid tiers + creator-payout; single-Stripe+IAP","PSP redundancy behind Stripe, route subs off 30% IAP to web, orchestrate creator payouts"
138,3,Poshmark,Marketplace,8,YES,Naver-owned; cross-listing competitive pressure,"Mature US resale w/ millions of payouts + Naver global ambitions: auth lift, cost reduction, one rail"
139,3,Replit,Dev,8,YES,$525M annualized (Apr'26); $400M Series D at $9B; usage-based agent credits,Consumption agent credits to worldwide devs: routing recovers failed top-ups + local methods
140,3,Reverb,Marketplace,8,NEW,Launched Reverb Wallet (Sep'25); relaunched UK; ~$1B annual txns,"Re-architecting payments: orchestrate multi-ctry acquiring, LPMs, seller payouts behind wallet"
141,3,Ro,Healthtech,8,NEW,Retained Wegovy partnership (Jun'25); ~$370M GLP-1 rev,High-AOV care subs tie failed-payment recovery directly to revenue + adherence
142,3,Runway,AI,8,YES,"$315M at $5.3B (Feb'26); Stripe-only, admits intl checkout drop-off",Real local methods + multi-acquirer routing recover intl declines currency display can't fix
143,3,SiriusXM / Pandora,Streaming,8,NEW,Double-digit profit growth Q1'26 on price hikes; satellite subs to 32.9M,Dunning/retry + auth optimization to defend shrinking price-sensitive base
144,3,SoFi,Fintech,8,YES,Launched SoFiUSD stablecoin to ~15M (May'26); tokenized deposits Q3'26,Orchestrate high-auth card funding of crypto buys + cross-border on/off-ramp across acquirers
145,3,Solo Brands,DTC,8,NEW,Next phase of European expansion; profitability-first rebuild,Multi-brand DTC into EU under cost pressure: orchestration cost reduction + LPM coverage
146,3,Step,Fintech,8,NEW,Acquired by MrBeast's Beast Industries (Feb'26); 7M Gen Z accounts,Maximize card-funded top-up auth w/ redundancy + orchestrate fiat-to-crypto on-ramp at scale
147,3,Twilio,SaaS,8,YES,Consolidated SendGrid/Segment (Feb'26); hiring Principal SWE Billing,High-volume usage billing + active billing-eng hiring + global base = orchestration + cost
148,3,Uphold,Crypto,8,NEW,Launched Visa crypto card (Mar'26); Rail acquisition; 140+ ctys,"Scale card-funded crypto purchases + global Visa card: auth routing, failover, on/off-ramp"
149,3,Vercel,Dev,8,YES,$300M Series F at $9.3B; moved to credit billing Sep'25; IPO signals,v0 on usage credits + IPO horizon: orchestrate global collections + acquirer failover
150,3,Via Transportation,Mobility,8,NEW,"IPO'd NYSE Sep'25 (~$493M); 30+ ctys, ~30% rev outside NA",Fresh IPO capital for intl expansion: localize acceptance + PSP failover as it scales
151,3,Viator (Tripadvisor),Travel,8,YES,"Experiences $4.7B GBV +13%, 70k suppliers; spin-off planned",Cross-border supplier-payout network + high volume: payout orchestration + auth routing on high-ticket
152,3,Webflow,SaaS,8,YES,Pricing overhaul + credit-based AI billing (May'26); $213M 2024 +66%,Large global self-serve base; subscription renewals + credit auths = churn recovery + cross-border
153,3,Wizards of the Coast,Gaming,8,NEW,WotC+Digital $2.2B +45% 2025; MTG Arena driving growth,Fast-growing digital storefront w/ intl demand: LPM breadth + routing; consolidate + lift auth
154,3,YETI,DTC,8,NEW,Intl sales +14% 2025 w/ new Japan entry + Europe/Australia growth,Accelerating intl mix: lift cross-border auth + add LPMs (esp. Japan) via orchestration
155,3,Stan (Stan.store),Creator,7,NEW,$35M ARR 2025 +24%; 80k+ creators; $100M+ GMV; first raise May'25,Profitable scaling checkout: auth optimization + intl LPM/payout reach beyond US Instagram creators
156,3,Udemy,Edtech,7,YES,"Consumer sub rev +44%, paid subs +102% YoY FY25; pivot to recurring",Live transactional→subscription pivot = moment to install billing orchestration
157,4,Captions / Mirage,AI,9,NEW,"$75M (Mar'26) to push into Asia + web suite; ~20M users, heavy IAP",Scaling into Asia + web checkout off 30% IAP: orchestrate local methods + routing
158,4,Secretlab,Gaming,9,NEW,Per-region storefronts each w/ different PSP/BNPL roster; India/SEA push,"Replace region-by-region PSP patchwork w/ one integration: unify checkout, lift auth, new-mkt LPMs"
159,4,WorldWinner,Gaming,9,NEW,Pays $2M+ weekly across 45 states; runs FanDuel Faceoff,One API for high-volume entry-fee w/ failover + chargeback orchestration + web checkout vs 30%
160,4,Zynga (Take-Two),Gaming,9,NEW,Take-Two emphasizing D2C over advertising for mobile,Massive global mobile portfolio shifting to D2C: orchestration to escape 30% + route globally
161,4,1stDibs,Marketplace,8,YES,Pushing intl dealer onboarding Europe/Asia; Q1'25 GMV +9%,"High-AOV luxury two-sided expanding cross-border: cut cost, lift high-ticket approval, dealer payouts"
162,4,Avis Budget,Travel,8,YES,"~10,250 locations ~180 ctys; expanding Avis First 2026",180-ctry high-ticket rental: small auth lifts on high-value bookings = recovered revenue
163,4,Boo,Dating,8,NEW,"Top-3 in SG/ID/MY, active India (largest 2025 download mkt)",UPI/regional wallets + shift recurring off 30% IAP + dunning
164,4,Carnival Corporation,Travel,8,YES,Celebration Key opened Jul'25; largest-ever fleet; record bookings,World's largest cruise w/ multi-brand global flows: reduce cross-border cost + auth/redundancy
165,4,Casago,Travel,8,NEW,Completed Vacasa acquisition (May'25); 40k+ properties US/MX/Belize/CR,Live cross-border portfolio mid-integration: consolidate two legacy stacks + multi-currency + owner payouts
166,4,ChargePoint,Mobility,8,YES,"150k+ ports NA+EU, 500k+ EU roaming; payments ~$690M segment",Cross-network roaming settles across ctys/currencies/billing: multi-currency multi-PSP orchestration
167,4,Clerk,SaaS,8,NEW,$50M round (Jun'25); usage-based billing top roadmap priority,PLG auth/identity API building metered billing now: orchestration partner at the right moment
168,4,Dashlane,Security,8,NEW,"Retired free plan Sep'25, forcing free users onto paid card tiers",Surge of new self-serve card subs globally: onboarding auth-rate + churn-recovery moment
169,4,DriveWealth,Fintech,8,NEW,Powers Uala US-stock launch in Mexico (Mar'26); Kalshi; EU license,One integration for LPMs + card acquiring per market so partners fund at high auth without rebuilding rails
170,4,Exodus,Crypto,8,NEW,Launched Exodus Pay (Apr'26); acquired Baanx+Monavate for issuing,US-public wallet turning into payments app w/ global expansion: card acquiring/on-ramp + payouts
171,4,Finch (Finch Care),Mental health,8,NEW,~$30M ARR almost all on IAP as Apple 30% cracked Jan'26,Launch web billing to escape the tax + routing + dunning
172,4,GitHub Copilot,Dev,8,YES,All Copilot plans → usage-based AI-credit billing (Jun'26),Massive self-serve subscriber base shifting to metered token billing = new decline exposure
173,4,Hi-Rez Studios,Gaming,8,NEW,"SMITE 2 went F2P w/ microtxn (Jan'25), new economy","Just-launched F2P economy = ideal moment to standardize on one API for LPMs, routing, web store"
174,4,Instawork,Marketplace,8,NEW,$60M Series D; UK/EU expansion 2026-27; 4M+ hourly workers,Build worker payouts + collections on one orchestration layer ahead of Europe launch
175,4,Jam City,Gaming,8,YES,~$500M rev across global IP (Harry Potter/Frozen); no public orchestrator,"Global IP-licensed F2P: add intl LPMs, web-store migration, reduced PCI scope"
176,4,Moon Active,Gaming,8,NEW,"Coin Master live 136+ ctys, 100M+ downloads",Top-grossing global F2P: global-LPM + auth-routing + IAP-fee escape
177,4,Niantic (Scopely),Gaming,8,NEW,PGO web stores live but huge volume still via app stores,"Maximize D2C shift w/ optimized global checkout, fraud controls, LPMs"
178,4,Nium,Fintech,8,NEW,Circle/Coinbase stablecoin + dual-network card issuance; $50B+ volume,B2B cross-border payouts adding card-issuing: fits on collection/acceptance side + PSP redundancy
179,4,NZXT,Gaming,8,NEW,$3.45M class-action (Sep'26) over 'Flex' rent-a-PC subscription,Recurring Flex subs + sprawling card/BNPL stack + billing crisis: one orchestrated API w/ anti-fraud+dunning
180,4,Opus Clip,AI,8,NEW,$20M from SoftBank at $215M (Mar'25); 10M users; launched Agent Opus,Consolidate global creator+enterprise billing on one API w/ routing/failover + local methods
181,4,Overwolf,Gaming,8,NEW,CurseForge billing to Tebex (Aug'25); $300M+ creator payouts 4 rails,"Orchestrate auth, failover, unified LPMs, fraud across 4-rail stack (lead consolidation, not replacement)"
182,4,Papaya Gaming,Gaming,8,NEW,$420M verdict + $15M settlement; 17M+ downloads 5 continents,Fraud/dispute orchestration + multi-PSP failover for global real-money platform under scrutiny
183,4,Phantom,Crypto,8,NEW,$150M Series C at $3B; launched CASH stablecoin + crypto debit card,SF wallet adding card + on-ramp deposit surface: orchestrate card-funding auth + payouts
184,4,Plus500 (US),Fintech,8,NEW,Record deposits $1.8B Q1'26; US rev +45%; new licenses CA/UAE/JP,One integration to lift deposit auth + failover + onboard per-ctry LPMs across new markets
185,4,Pocket Gems,Gaming,8,NEW,"$90M Tencent investment (Mar'25), $155M total raised",Newly capitalized US studio primed for intl + web-store scaling: single-API foundation
186,4,Public.com,Fintech,8,NEW,"Acquired Alto CryptoIRA (~$65M, Nov'25)",Bolting crypto-IRA funding onto card-deposit base: orchestrate on/off-ramp + high-auth funding + failover
187,4,Revolut US,Fintech,8,NEW,Filed US bank charter (Mar'26); ex-Visa US CEO; $75B valuation,Scale US card-funded top-ups + new users: orchestrate multiple acquirers for auth + failover
188,4,Royal Caribbean,Travel,8,YES,7 Icon-class mega-ships through 2030; Celebrity River Cruises,Aggressive global capacity + new river/destination launches: optimize auth + LPMs
189,4,SciPlay / Light & Wonder,Gaming,8,NEW,D2C ~11% of rev growing; chip class-action payouts Mar'26,Social casino = high fraud exposure + growing web shop: anti-fraud orchestration + routing
190,4,SeatGeek,Marketplace,8,YES,On 2026 IPO-watch lists; confidentially filed ~3yrs ago,"IPO-prep window: PSP failover, lift auth, de-risk single-PSP before S-1"
191,4,Sentry,SaaS,8,NEW,Hybrid tiered + usage-based overage w/ reserved capacity (2026),PLG error-monitoring self-serve globally: renewal + overage auths = involuntary-churn fit
192,4,Sling Money,Crypto,8,NEW,Launched in US; 145+ ctys; FCA+MiCA (Dec'25); planning card payments,Stablecoin remitter entering card rails: orchestrate fiat card-in + off-ramp across corridors
193,4,Supabase,Dev,8,YES,Crossed 1M databases; serverless-Postgres consolidation,"Open-source backend, self-serve usage Cloud, global devs: routing + failover"
194,4,Tastytrade,Fintech,8,NEW,Launched instant stablecoin funding (Jul'25); hired intl-expansion lead,Solving global funding friction but base on traditional rails: lift card-deposit auth + LPMs market-by-market
195,4,Viking Holdings,Travel,8,NEW,"FY25 rev $6.5B +22%, first public year; India river 2027-28",Newly public premium line expanding to new geos (India): fresh cross-border LPM + auth needs
196,4,Activision Blizzard,Gaming,7,YES,Shut CoD Warzone Mobile (May'25); console/PC microtxn at scale,"Massive global microtxn across CoD/Diablo: redundancy, LPMs, post-ruling direct-billing path"
197,4,Airtable,SaaS,7,NEW,"$1.4B raised, $11.6B valuation, 500K+ orgs (Jan'26)",Global freemium→paid self-serve seats: auth-rate lift + dunning on high-volume renewals
198,4,Apex Trader Funding,Fintech,7,NEW,Full program rebuild w/ weekly payouts (Mar'26); 100+ ctys,Weekly cross-border payouts to 100+ ctys: payout orchestration + failover
199,4,Aristocrat / Product Madness,Gaming,7,NEW,"Top-grossing social casino; high IAP, no public D2C","Social-casino IAP + fraud w/ no orchestrator: routing, failover, future web-store migration"
200,4,AvantStay,Travel,7,NEW,"~2,300 luxury properties 140+ cities; $5B+ AUM",High-ticket luxury acutely auth-sensitive: smart routing + retry recover declined reservations + payouts
201,4,Avelo Airlines,Travel,7,NEW,Expanded to 4 intl destinations (Jamaica/MX/DR/Bahamas),Fast-scaling LCC w/ new Caribbean/MX: one orchestration layer vs building multi-PSP infra
202,4,Bloom Nutrition,DTC,7,NEW,"~$250M rev DTC supplement on Shopify Plus, rapid growth",Scaling subscription supplement: auth-rate lift + intl LPM readiness
203,4,Bloomberg Media,Streaming,7,NEW,Raised annual digital sub 33% ($299→$399) for 2025,Auth-rate + retry orchestration to protect renewals through steep price increase
204,4,Cameo,Marketplace,7,NEW,'Strongest year' 2025; TikTok partnership; subscriptions/gifting,Two-sided (fan pay-in + global talent payout) diversifying: consolidate routing + intl payouts
205,4,Centr,Fitness,7,NEW,2025 content expansion + HYROX partnership; PE-backed ~$200M,LPMs + IAP→web to defend margins as it scales globally
206,4,Cleo,Fintech,7,NEW,ARR ~$300M +118% YoY; relaunched UK 2026,Orchestrate card-funded top-ups + instant disbursements: raise auth + add redundancy across US+UK
207,4,Coffee Meets Bagel,Dating,7,NEW,~101 staff 6 continents; 4th highest-grossing dating in SE Asia,Cost-reduction routing + Asia/LatAm LPMs improve unit economics
208,4,Crusoe,AI,7,NEW,$1.37B Series E at $10B (Oct'25); cloud ARR +150% YoY,Scaling cloud ARR + enterprise contracts globalizing: unified cross-border billing + redundancy
209,4,Datadog,SaaS,7,YES,FY26 8-K flags shifting geographic earnings mix (intl growth),Per-host usage billing w/ self-serve entry; growing intl base: cross-border cost + routing
210,4,Dave,Fintech,7,NEW,Q1'26 ExtraCash +37% to $2.1B; 2025 rev +59.7% to $554M,ExtraCash disbursements + card-funded Checking growing: orchestrate payouts + lift top-up auth
211,4,Daybreak (EG7),Gaming,7,NEW,Q2'25 rev -7%; margin pressure across subscription MMOs,Margin pressure across legacy sub/microtxn MMOs: cost reduction + auth uplift + reduced PCI = P&L pitch
212,4,Daydream,AI,7,NEW,"Public-beta chat shopping agent + iPhone app (Nov'25); 8,000+ brands","Conversational checkout across 8k brands: smart routing, redundancy, global LPMs, anti-fraud"
213,4,Deel,Marketplace,7,NEW,$22B annual payroll 150+ ctys; USDC payroll + Coinbase withdrawals,Orchestrate inbound funding + FX across 150 ctys to cut PSP/FX cost (confirm card volume)
214,4,Descript,SaaS,7,YES,~$95-110M ARR; billing overhaul to credits/minutes (Sep'25),New usage billing + global creators: local methods + routing
215,4,Fiverr,Marketplace,7,NEW,"Global freelancer marketplace, 5%+ fees, two-sided [structural]",Reduce processing cost + lift cross-border buyer auth via multi-PSP routing
216,4,Function Health,Healthtech,7,NEW,"$298M Series B at $2.5B (Nov'25); ~200k members, $100M run-rate",Decline-recovery + routing to defend annual-membership renewal economics
217,4,Gearbox (Take-Two),Gaming,7,NEW,Borderlands 4 launched Sep'25 w/ paid DLC + live-service,Fresh AAA live-service w/ global PC spend: power direct cosmetics/DLC web store w/ cross-PSP routing
218,4,Grailed,Marketplace,7,NEW,Grailed Payments on Stripe+PayPal; intl 4.99% vs 3.49% w/ FX,"Cross-border fee/FX penalty + single Stripe: cut cost, add local acquiring/LPMs, failover"
219,4,Gumroad,Creator,7,NEW,Became MoR on every txn (Jan'25); bank transfer to 100+ ctys,"As MoR w/ global creators on thin stack: multi-PSP routing, redundancy, broader payout rails"
220,4,HubSpot,SaaS,7,YES,Eliminated free CRM plan (Jun'25); contact-tiered self-serve,PLG-rooted self-serve subs worldwide: auth-rate + dunning on tiered renewals
221,4,Jones Road Beauty,DTC,7,NEW,Most viral beauty 2025; 3x retail store count 2026,"High-growth DTC beauty scaling omnichannel: resilient checkout, subscription, path to intl LPMs"
222,4,Kasa Living,Travel,7,NEW,$70M Series C (Aug'25); absorbing Sonder properties + Mint House,Roll-up of distressed competitors = multiple inherited stacks to unify + failover + owner payouts
223,4,Liquid Death,DTC,7,NEW,New Big Geyser distribution (Oct'25); entering energy drinks 2026,Fast-scaling DTC+retail CPG entering new categories: consolidate checkout/subscription + prep intl
224,4,Mercury,Fintech,7,NEW,$200M Series D at $5.2B after OCC charter (Apr'26); building payments infra,"As it builds own rails post-charter: orchestrate card deposits, payouts, multi-acquirer redundancy"
225,4,Noom,Healthtech,7,NEW,Top wellness/weight-loss player in 19.7% CAGR market,Reduce involuntary churn on high-ticket recurring health subs; add LPMs for expansion
226,4,OfferUp,Marketplace,7,NEW,Layoffs Oct'25; expanding nationwide shipping (handles payment),"Cost-cutting + shift to shipped/paid txns: reduce cost, add routing/redundancy on managed payments"
227,4,OpenRouter,AI,7,NEW,"$50M ARR (Mar'26); $113M Series B at $1.3B; 1M+ devs, 5% margin",Marketplace on thin 5% of global inference spend lives/dies on auth + method coverage
228,4,Photoroom,SaaS,7,YES,"~$50M ARR target, 20M downloads, e-commerce focus",Single API for global subscription billing + IAP-to-web migration as ARR scales
229,4,Picsart,Streaming,7,YES,30+ languages mobile+web; large intl consumer base,Web checkout + global LPMs to escape IAP on heavily intl app base
230,4,Pika,AI,7,NEW,~$85M+ ARR; Stripe-only + iOS IAP,Migrate off 30% IAP to web in local currencies + PSP redundancy
231,4,Postman,SaaS,7,YES,Cut free plan to 1 user (Mar'26); API-call metered tiers,Self-serve global dev base pushed onto paid tiers = new card-auth volume
232,4,Princess Polly,DTC,7,NEW,Continued US store rollout; AU-origin heavy US ops,Cross-border fashion DTC w/ AU/US footprint: unified multi-region checkout + routing
233,4,Quizlet,Edtech,7,YES,"200-400% intl new-user growth amid AI pivot, ~$139M rev",Localized LPMs + auth routing to convert the intl surge into Quizlet Plus
234,4,Reformation,DTC,7,NEW,Fast-growing DTC fashion scaling [structural],Growing apparel DTC expanding intl: LPMs + cross-border auth optimization
235,4,Ritual,DTC,7,NEW,$100-150M rev supplement subscription on Shopify Plus,Subscription supplement: lift recurring auth + reduce churn-from-failed-payments via retry/routing
236,4,Strike,Crypto,7,NEW,NY BitLicense (Mar'26); $2.1B Tether BTC lending facility,Consumer card/bank deposits to fund BTC across ~65-100 ctys: high-auth card routing + on-ramp failover
237,4,Superhuman,SaaS,7,YES,"Grammarly rebranded to Superhuman (Oct'25), $13B mark",Consumer+team self-serve subs globally: renewal churn recovery + auth-rate
238,4,Synthesia,SaaS,7,NEW,~$146M ARR (Sep'25); self-serve subscription tiers,Global self-serve + renewals: involuntary churn + multi-region optimization
239,4,The Funded Trader,Fintech,7,NEW,cTrader US approval (May'25); rebuilding after payout collapse,Firm whose near-death was payout failure = textbook payout orchestration + redundancy buyer
240,4,ThredUp,Marketplace,7,NEW,Launched P2P 'Direct Listing' beta (Jun'26); stock +340% 2025,New P2P + RaaS = true two-sided payments operator: seller payouts + per-brand flows one integration
241,4,Tilting Point,Gaming,7,NEW,$235M raised; UA/publishing across many third-party titles,Publishing/UA platform across many studios: standardize orchestration + D2C billing across catalog
242,4,Tonal,Fitness,7,NEW,$130M at reduced ~$550-600M valuation; profitability mandate,Processing-cost reduction + retry/dunning as a direct margin lever
243,4,Topstep,Fintech,7,NEW,Payout overhaul (Jan'26) forcing more withdrawal cycles; $1B+ paid,More frequent global payouts to 200K+ traders: payout orchestration + redundancy
244,4,True Classic,DTC,7,NEW,"High-volume DTC menswear, intl ambitions [structural]",Volume DTC apparel: cut processing cost + add LPMs as it expands abroad
245,4,Turo,Mobility,7,YES,Acquired Kyte (Jul'25); US/UK/CA/AU/FR; cost-focused after layoffs,Marketplace payouts to ~170k hosts on single Stripe: redundancy/failover + routing leverage
246,4,United Airlines,Travel,7,YES,2026 expansion: Croatia/Italy/Scotland/Spain/Bangkok/Central America,Massive global footprint = fragmented-acquirer problem; routing/redundancy on high-value intl tickets
247,4,Upwork,Marketplace,7,YES,"796K active clients, $4B+ spend, 180+ ctys [structural]",Orchestrate global collections + freelancer payouts to close failed-payment gap + reduce PSP cost
248,4,Washington Post,Streaming,7,NEW,News-sub sector growing; bundling/tiering push,Dunning + LPMs to support intl digital-subscriber growth + bundle launches
249,4,Wayfair,Marketplace,7,YES,Named partner using PingPong for cross-border (Mar'25),Large home-goods marketplace w/ cross-border flows: routing/cost-reduction + LPM target
250,4,Wise (US),Fintech,7,NEW,Nasdaq primary listing (May'26); card spend $44B +37%,Increasingly card-led: card-acquiring auth optimization + redundancy (heavy in-house = longer sell)
251,4,Zepz,Fintech,7,NEW,€152M HSBC facilities but cut 20% staff; cost-discipline mode,"Cost pressure across 4,000+ corridors: cross-border cost reduction + PSP consolidation = efficiency pitch"
252,4,Tarte Cosmetics,DTC,6,NEW,Large DTC/retail beauty w/ global ambitions [structural],Global beauty: consolidate fragmented regional PSPs + broaden LPMs
